"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID1,FID2,FID3,FID4,FID6,FID5";"Fiducial_0.5mm_Mask1mm";6;"Fiducial";;;
2;"C4,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"100n";;;
3;"IC1";"SOIC-14";1;"74HC125";;;
4;"U2";"WEMOS_D1_mini_light";1;"WeMos_D1_mini";;;
5;"J1";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Conn_01x03";;;
6;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"33";;;
7;"H1,H2";"MountingHole_2.2mm_M2";2;"MountingHole";;;
8;"J2";"BarrelJack_Horizontal";1;"Barrel_Jack_MountingPin";;;
9;"L1";"L_Bourns-SRN4018";1;"L";;;
10;"Q1";"SOT-23";1;"PN2222A";;;
11;"U1";"SOT-23-6_DBV_TEX";1;"PLMR51610XDBVR";;;
12;"R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"22.1k";;;
13;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22µ";;;
14;"Q2";"TSOT-23";1;"Q_PMOS_GSD";;;
15;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"2.2µ";;;
16;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"118k";;;
17;"R4,R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"1k";;;
18;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10k";;;
